"raw","name","norm","elevation"
"Sivý vrch 1805","Sivý vrch","sivy vrch","1805"
"Ostrá 1763","Ostrá","ostra","1763"
"Pálenica difluence","Pálenica difluence","palenica difluence",
"Babia Góra 1725","Babia Góra","babia gora","1725"
"Turbacz 1310","Turbacz","turbacz","1310"
"Poľana 1458","Poľana","polana","1458"
"Salatín 2047","Salatín","salatin","2047"
"Bobrovecký glacier","Bobrovecký glacier","bobrovecky glacier",
"Hlboký glacier","Hlboký glacier","hlboky glacier",
"Roháčsky glacier","Roháčsky glacier","rohacsky glacier",
"Ráztoka 1950","Ráztoka","raztoka","1950"
"Lysec 1830","Lysec","lysec","1830"
"Jalovecká dolina","Jalovecká dolina","jalovecka dolina",
"Parichvost glacier","Parichvost glacier","parichvost glacier",
"Podválovec glacier","Podválovec glacier","podvalovec glacier",
"Holica 1339","Holica","holica","1339"
"Veľký Choč 1611","Veľký Choč","velky choc","1611"
"Veľký Kriváň 1709","Veľký Kriváň","velky krivan","1709"
"Ďumbier 2043","Ďumbier","dumbier","2043"
"Polica 1369","Polica","polica","1369"
"Baranec 2184","Baranec","baranec","2184"
"Osobitá 1687","Osobitá","osobita","1687"
"Baníkov 2178","Baníkov","banikov","2178"
"Sivý vrch 1805","Sivý vrch","sivy vrch","1805"
"Veľký Kriváň 1709","Veľký Kriváň","velky krivan","1709"
"Veľký Choč 1611","Veľký Choč","velky choc","1611"
"Králova hoľa 1946","Králova hoľa","kralova hola","1946"
"Ďumbier 2043","Ďumbier","dumbier","2043"
"Pilsko 1557","Pilsko","pilsko","1557"
"Babia Góra 1725","Babia Góra","babia gora","1725"
"Salatín 2047","Salatín","salatin","2047"
"Osobitá 1687","Osobitá","osobita","1687"
"Baníkov 2178","Baníkov","banikov","2178"
"Baranec 2184","Baranec","baranec","2184"
"Wołowiec 2064","Wołowiec","wo owiec","2064"
"Bobrowiec 1663","Bobrowiec","bobrowiec","1663"
"Kriváň 2494","Kriváň","krivan","2494"
"Rosocha 1940","Rosocha","rosocha","1940"
"Pachoľa 2167","Pachoľa","pachola","2167"
"<strong data-start=\","<strong data-start=\","strong data start",
"Jalovecký glacier","Jalovecký glacier","jalovecky glacier",
"Hlboká dolina glacier","Hlboká dolina glacier","hlboka dolina glacier",
"Parichvost glacier","Parichvost glacier","parichvost glacier",
"<strong data-start=\","<strong data-start=\","strong data start",
"Wołowiec 2064","Wołowiec","wo owiec","2064"
"Baníkov 2178","Baníkov","banikov","2178"
"Jakubina 2194","Jakubina","jakubina","2194"
"Bystrá 2248","Bystrá","bystra","2248"
"Osobitá 1687","Osobitá","osobita","1687"
"Bobrowiec 1663","Bobrowiec","bobrowiec","1663"
"Kominiarski Wierch 1829","Kominiarski Wierch","kominiarski wierch","1829"
"Świnica 2301","Świnica","swinica","2301"
"Chochołowski glacier","Chochołowski glacier","chocho owski glacier",
"Roháčsky glacier","Roháčsky glacier","rohacsky glacier",
"Baranec 2184","Baranec","baranec","2184"
"Jamnícky glacier","Jamnícky glacier","jamnicky glacier",
"Plačlivô 2125","Plačlivô","placlivo","2125"
"Salatín 2047","Salatín","salatin","2047"
"Pilsko 1557","Pilsko","pilsko","1557"
"Babia Góra 1725","Babia Góra","babia gora","1725"
"Turbacz 1310","Turbacz","turbacz","1310"
"Ornak","Ornak","ornak",
"Rakoń 1879","Rakoń","rakon","1879"
"Grześ 1653","Grześ","grzes","1653"
"Starorobociański Wierch 2176","Starorobociański Wierch","starorobocianski wierch","2176"
"Chochołowski glacier","Chochołowski glacier","chocho owski glacier",
"Starorobociański glacier","Starorobociański glacier","starorobocianski glacier",
"Kościeliski glacier","Kościeliski glacier","koscieliski glacier",
"Kôprovský glacier","Kôprovský glacier","koprovsky glacier",
"<strong data-start=\","<strong data-start=\","strong data start",
"<strong data-start=\","<strong data-start=\","strong data start",
"Jamnícky glacier","Jamnícky glacier","jamnicky glacier",
"Bystrý glacier","Bystrý glacier","bystry glacier",
"Kamenistý glacier","Kamenistý glacier","kamenisty glacier",
"<strong data-start=\","<strong data-start=\","strong data start",
"Kominiarski Wierch 1829","Kominiarski Wierch","kominiarski wierch","1829"
"Jakubina 2194","Jakubina","jakubina","2194"
