"base_name","normalized_key","heights","counts","chosen_height"
"Kežmarský štít","kezmarsky stit","2556, 2558","2556:1; 2558:2","2558"
"Holica","holica","1339, 1628","1339:1; 1628:1","1628"
"Ladový štít","ladovy stit","2627, 2628","2627:9; 2628:3","2627"
"Lomnický štít","lomnicky stit","2633, 2634","2633:1; 2634:6","2634"
"Javorový štít","javorovy stit","2418, 2476","2418:1; 2476:2","2476"
"Ďumbier","dumbier","2043, 2045","2043:6; 2045:1","2043"
"Gerlachovský štít","gerlachovsky stit","2654, 2655","2654:12; 2655:2","2654"
"Żabi Szczyt Wyżni","zabi szczyt wyzni","2259, 2263","2259:1; 2263:1","2263"
"Ganek","ganek","2459, 2462","2459:1; 2462:1","2462"
"Satán","satan","2421, 2422","2421:1; 2422:3","2422"
"Končistá","koncista","2537, 2538","2537:7; 2538:1","2537"
