"name_a","name_b","normalized_a","normalized_b","similarity"
"Rysy","Niżne Rysy","rysy","nizne rysy","1"
"Kostolík","Kostolík 2262 - nunatak","kostolik","kostolik 2262 nunatak","1"
"Mięguszowiecki Szczyt Wielki","Wielki Mięguszowiecki Szczyt","mieguszowiecki szczyt wielki","wielki mieguszowiecki szczyt","1"
"Vysoká","Východná Vysoká","vysoka","vychodna vysoka","1"
"Wołoszyn","Wielki Wołoszyn","wo oszyn","wielki wo oszyn","1"
"Koszysta","Wielka Koszysta","koszysta","wielka koszysta","1"
"Poľana","Łysa Polana","polana","ysa polana","1"
"Poľana","Rusinowa Polana","polana","rusinowa polana","1"
"Goły Wierch","Opalony Wierch","go y wierch","opalony wierch","1"
"Mały Kościelec","Kościelec","ma y koscielec","koscielec","1"
"Kriváň","Veľký Kriváň","krivan","velky krivan","1"
"Goły Wierch","Szpiglasowy Wierch","go y wierch","szpiglasowy wierch","1"
"Goły Wierch","Gładki Wierch","go y wierch","g adki wierch","1"
"Goły Wierch","Kasprowy Wierch","go y wierch","kasprowy wierch","1"
"Goły Wierch","Smreczyński Wierch","go y wierch","smreczynski wierch","1"
"Goły Wierch","Trzydniowiański Wierch","go y wierch","trzydniowianski wierch","1"
"Tichá glacier","Tichá dolina Glacier","ticha glacier","ticha dolina glacier","0,667"
"Miętusia glacier","Miętusia Dol. Glacier","mietusia glacier","mietusia dol glacier","0,667"
"Veľkostudený piedmont glacier","Veľkostudený glacier","velkostudeny piedmont glacier","velkostudeny glacier","0,667"
"Mengusovský glacier","Mengusovský piedmont glacier","mengusovsky glacier","mengusovsky piedmont glacier","0,667"
"Hrubá veža 2428 - nunatak","Hrubá veža 2086 - nunatak","hruba veza 2428 nunatak","hruba veza 2086 nunatak","0,6"
"Hrubá veža 2083 - nunatak","Hrubá veža 2086 - nunatak","hruba veza 2083 nunatak","hruba veza 2086 nunatak","0,6"
"Hrubá veža 2428 - nunatak","Hrubá veža 2083 - nunatak","hruba veza 2428 nunatak","hruba veza 2083 nunatak","0,6"
"Kačacia dolina glacier","Tichá dolina Glacier","kacacia dolina glacier","ticha dolina glacier","0,5"
"Wierch Poroniec","Goły Wierch","wierch poroniec","go y wierch","0,5"
"Skrajny Wołoszyn","Wołoszyn","skrajny wo oszyn","wo oszyn","0,5"
"Hlboká dolina glacier","Velická dolina Glacier","hlboka dolina glacier","velicka dolina glacier","0,5"
"Starorobociański glacier","Starorobociański W","starorobocianski glacier","starorobocianski w","0,5"
"Široká glacier","Široká","siroka glacier","siroka","0,5"
"Kačacia dolina glacier","Hlboká dolina glacier","kacacia dolina glacier","hlboka dolina glacier","0,5"
"Tichá dolina Glacier","Velická dolina Glacier","ticha dolina glacier","velicka dolina glacier","0,5"
"Tichá dolina Glacier","Hlboká dolina glacier","ticha dolina glacier","hlboka dolina glacier","0,5"
"Veľkostudený piedmont glacier","Mengusovský piedmont glacier","velkostudeny piedmont glacier","mengusovsky piedmont glacier","0,5"
"Kominiarski Wierch","Goły Wierch","kominiarski wierch","go y wierch","0,5"
"Starorobociański Wierch","Starorobociański W","starorobocianski wierch","starorobocianski w","0,5"
"Kačacia dolina glacier","Velická dolina Glacier","kacacia dolina glacier","velicka dolina glacier","0,5"
"Jarząbczy Wierch","Goły Wierch","jarzabczy wierch","go y wierch","0,5"
"Starorobociański Wierch","Goły Wierch","starorobocianski wierch","go y wierch","0,5"
"Dolina&nbsp;Bystrej Glacier","Bystrej glacier","dolina nbsp bystrej glacier","bystrej glacier","0,5"
"Hrubá veža","Hrubá veža 2086 - nunatak","hruba veza","hruba veza 2086 nunatak","0,5"
"Morskie Oko will be here","Morskie Oko","morskie oko will be here","morskie oko","0,5"
"Nižná Bystrá","Bystrá","nizna bystra","bystra","0,5"
"Hrubá veža","Hrubá veža 2083 - nunatak","hruba veza","hruba veza 2083 nunatak","0,5"
"Mięguszowiecki Szczyt Wielki","Mięguszowiecki Szczyt Czarny","mieguszowiecki szczyt wielki","mieguszowiecki szczyt czarny","0,5"
"Veľká kopa","Veľká kopa&nbsp;2052","velka kopa","velka kopa nbsp 2052","0,5"
"Hrubá veža","Hrubá veža 2428 - nunatak","hruba veza","hruba veza 2428 nunatak","0,5"
"Kozi Wierch","Goły Wierch","kozi wierch","go y wierch","0,5"
"TAPZ KIRY","Kiry","tapz kiry","kiry","0,5"
"Mięguszowiecki Szczyt Czarny","Wielki Mięguszowiecki Szczyt","mieguszowiecki szczyt czarny","wielki mieguszowiecki szczyt","0,5"
"Tatranska Javorina","TATRANSKÁ LOMNICA","tatranska javorina","tatranska lomnica","0,333"
"Veľký Baboš","Veľký Bok","velky babos","velky bok","0,333"
"Roztoka glacier","Roztoki glacier","roztoka glacier","roztoki glacier","0,333"
"Kežmarski glacier","Kežmarský glacier","kezmarski glacier","kezmarsky glacier","0,333"
"Miętusia glacier","Miętusi glacier","mietusia glacier","mietusi glacier","0,333"
"Żabi Koń","Žabí glacier","zabi kon","zabi glacier","0,333"
"Dolina Kościeliska","Dolina Białki","dolina koscieliska","dolina bia ki","0,333"
"Roztocka Czuba","Roztocka Turniczka","roztocka czuba","roztocka turniczka","0,333"
"Starorobociański Wierch","Starorobociański glacier","starorobocianski wierch","starorobocianski glacier","0,333"
"Dolina Kościeliska","Dolina Filipka","dolina koscieliska","dolina filipka","0,333"
"Hrubá veža","Hrubá kopa","hruba veza","hruba kopa","0,333"
"Bystrý glacier","Bystrej glacier","bystry glacier","bystrej glacier","0,333"
"Veľký Baboš","Veľký Kriváň","velky babos","velky krivan","0,333"
"Veľký Choč","Veľký Baboš","velky choc","velky babos","0,333"
"Veľký Choč","Veľký Kriváň","velky choc","velky krivan","0,333"
"Veľký Choč","Veľký Bok","velky choc","velky bok","0,333"
