"rank","name","type","lon","lat","status","source","elevation_m"
"1","Spišská Magura","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"2","Sarnia Skała","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"3","Jahňací štít","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","2229"
"4","Čierny štít","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","2429"
"5","Łysa Skałka","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","1129"
"6","Čergov","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"7","Żabi Koń","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","2291"
"8","Veža nad kolibou","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"9","Veľkostudený glacier","glacier","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"10","Huncovský glacier","glacier","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"11","Strelecká veža 2098","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"12","Velická dolina Glacier","glacier","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"13","Dolina Białki","valley/river","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"14","Kościeliska valley","valley/river","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"15","Kopské sedlo","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","1749"
"16","Cyrchla nad Białką","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"17","Gorce Mts.","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","1310"
"18","Veľkostudený piedmont glacier","glacier","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"19","Kežmarský glacier","glacier","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"20","Malostudený glacier","glacier","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"21","STARÝ SMOKOVEC","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"22","Mengusovský piedmont glacier","glacier","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"23","Skrajny Wołoszyn","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","2168"
"24","Javorový štít","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","2476"
"25","Zadná kopa","peak/ridge","19,7003","49,2022","coordinate-based","wikidata:Q11832488","1674"
"26","Bielovodská veža","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","1825"
"27","Świstówka icefall","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"28","Łysa Polana","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","970"
"29","Huncovský štít","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","2359"
"30","TATRANSKÁ LOMNICA","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488",""
"31","Kýčera","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","1240"
"32","Veľký Baboš","other","19,7003","49,2022","coordinate-based","wikidata:Q11832488","1523"
"33","Králova hoľa","other","19,7054","49,19965","coordinate-based","wikidata:Q3504289","1946"
"34","Wołowiec","other","19,7054","49,19965","coordinate-based","wikidata:Q3504289","2064"
"35","Hoľica","other","19,747778","49,197222","coordinate-based","wikidata:Q3501678","1628"
"36","Žabí glacier","glacier","19,747778","49,197222","coordinate-based","wikidata:Q3501678",""
"37","Waksmundzka Przełęcz","other","19,747778","49,197222","coordinate-based","wikidata:Q3501678",""
