"rank","name","type","lon","lat","status"
"1","Plačlivé","other","19,756058","49,194072","coordinate-based (validated)"
"2","Gubałówka","other","19,935833","49,3075","coordinate-based (validated)"
"3","Babia Góra","other","","","estimated (scene-proximity fallback)"
"4","Baníkov","other","","","estimated (scene-proximity fallback)"
"5","Batizovská dolina","valley/river","","","estimated (scene-proximity fallback)"
"6","Batizovský štít","other","","","estimated (scene-proximity fallback)"
"7","Belá river","valley/river","","","estimated (scene-proximity fallback)"
"8","Białka Glacier","glacier","","","estimated (scene-proximity fallback)"
"9","Białka glacier","glacier","","","estimated (scene-proximity fallback)"
"10","Bielovodská veža","other","","","estimated (scene-proximity fallback)"
"11","Bielovodský glacier","glacier","","","estimated (scene-proximity fallback)"
"12","Bobrovecký glacier","glacier","","","estimated (scene-proximity fallback)"
"13","Bujačí vrch 1947","peak/ridge","","","estimated (scene-proximity fallback)"
"14","Bystrá","other","","","estimated (scene-proximity fallback)"
"15","Bystrý glacier","glacier","","","estimated (scene-proximity fallback)"
"16","Čergov","other","","","estimated (scene-proximity fallback)"
"17","Červená dolina","valley/river","","","estimated (scene-proximity fallback)"
"18","Chochołowski glacier","glacier","","","estimated (scene-proximity fallback)"
"19","Čierny štít","other","","","estimated (scene-proximity fallback)"
"20","Cyrchla nad Białką","other","","","estimated (scene-proximity fallback)"
"21","Dolina Białki","valley/river","","","estimated (scene-proximity fallback)"
"22","Dolina Kościeliska","valley/river","","","estimated (scene-proximity fallback)"
"23","Dračia veža 2252","other","","","estimated (scene-proximity fallback)"
"24","Ďumbier","other","","","estimated (scene-proximity fallback)"
"25","Gerlachovský štít","other","","","estimated (scene-proximity fallback)"
"26","Gęsia Szyja","other","","","estimated (scene-proximity fallback)"
"27","Gładki Wierch","peak/ridge","","","estimated (scene-proximity fallback)"
"28","Goły Wierch","peak/ridge","","","estimated (scene-proximity fallback)"
"29","Gorce Mts.","other","","","estimated (scene-proximity fallback)"
"30","Grześ","other","","","estimated (scene-proximity fallback)"
"31","Hlboká dolina glacier","glacier","","","estimated (scene-proximity fallback)"
"32","Hlboký glacier","glacier","","","estimated (scene-proximity fallback)"
"33","Hlinská veža","other","","","estimated (scene-proximity fallback)"
"34","Hlinský glacier","glacier","","","estimated (scene-proximity fallback)"
"35","Hoľica","other","","","estimated (scene-proximity fallback)"
"36","Hrubá kopa","peak/ridge","","","estimated (scene-proximity fallback)"
"37","Hrubá veža 2086","other","","","estimated (scene-proximity fallback)"
"38","Hrubá veža 2086","other","","","estimated (scene-proximity fallback)"
"39","Hrubá veža 2086","other","","","estimated (scene-proximity fallback)"
"40","Hrubá veža 2086","other","","","estimated (scene-proximity fallback)"
"41","Hrubý Regiel","other","","","estimated (scene-proximity fallback)"
"42","Hrubý vrch","peak/ridge","","","estimated (scene-proximity fallback)"
"43","Huncovský glacier","glacier","","","estimated (scene-proximity fallback)"
"44","Huncovský štít","other","","","estimated (scene-proximity fallback)"
"45","Jahňací štít","other","","","estimated (scene-proximity fallback)"
"46","Jakubiná","other","","","estimated (scene-proximity fallback)"
"47","Jalovecká dolina","valley/river","","","estimated (scene-proximity fallback)"
"48","Jalovecký glacier","glacier","","","estimated (scene-proximity fallback)"
"49","Jamnícky glacier","glacier","","","estimated (scene-proximity fallback)"
"50","Jarząbczy Wierch","peak/ridge","","","estimated (scene-proximity fallback)"
"51","Javorový glacier","glacier","","","estimated (scene-proximity fallback)"
"52","Javorový štít","other","","","estimated (scene-proximity fallback)"
"53","Kačacia dolina glacier","glacier","","","estimated (scene-proximity fallback)"
"54","Kamenistý glacier","glacier","","","estimated (scene-proximity fallback)"
"55","Kežmarski glacier","glacier","","","estimated (scene-proximity fallback)"
"56","Kežmarský glacier","glacier","","","estimated (scene-proximity fallback)"
"57","Kežmarský štít","other","","","estimated (scene-proximity fallback)"
"58","Končistá","other","","","estimated (scene-proximity fallback)"
"59","Kôprová dolina","valley/river","","","estimated (scene-proximity fallback)"
"60","Kôprovský glacier","glacier","","","estimated (scene-proximity fallback)"
"61","Kôprovský štít","other","","","estimated (scene-proximity fallback)"
"62","Kopské sedlo","other","","","estimated (scene-proximity fallback)"
"63","Kostolík","other","","","estimated (scene-proximity fallback)"
"64","Kostolík 2262","other","","","estimated (scene-proximity fallback)"
"65","Kościelec","other","","","estimated (scene-proximity fallback)"
"66","Kościeliska valley","valley/river","","","estimated (scene-proximity fallback)"
"67","Kościeliski glacier","glacier","","","estimated (scene-proximity fallback)"
"68","Kościeliski Glacier","glacier","","","estimated (scene-proximity fallback)"
"69","Králova hoľa","other","","","estimated (scene-proximity fallback)"
"70","Krátka","other","","","estimated (scene-proximity fallback)"
"71","Kriváň","other","","","estimated (scene-proximity fallback)"
"72","Krzyżne","other","","","estimated (scene-proximity fallback)"
"73","Kuźnice","other","","","estimated (scene-proximity fallback)"
"74","Kýčera","other","","","estimated (scene-proximity fallback)"
"75","Ladový štít","other","","","estimated (scene-proximity fallback)"
"76","Ľadový štít","other","","","estimated (scene-proximity fallback)"
"77","Levočské vrchy","peak/ridge","","","estimated (scene-proximity fallback)"
"78","Lomnický štít","other","","","estimated (scene-proximity fallback)"
"79","Lubań","other","","","estimated (scene-proximity fallback)"
"80","Łysa Polana","other","","","estimated (scene-proximity fallback)"
"81","Łysa Skałka","other","","","estimated (scene-proximity fallback)"
"82","Łysanki","other","","","estimated (scene-proximity fallback)"
"83","Malostudený glacier","glacier","","","estimated (scene-proximity fallback)"
"84","Mała Łąka Glacier","glacier","","","estimated (scene-proximity fallback)"
"85","Mała Łąka glacier","glacier","","","estimated (scene-proximity fallback)"
"86","Małołączniak","other","","","estimated (scene-proximity fallback)"
"87","Mały Kościelec","other","","","estimated (scene-proximity fallback)"
"88","Mengusovský glacier","glacier","","","estimated (scene-proximity fallback)"
"89","Mengusovský piedmont glacier","glacier","","","estimated (scene-proximity fallback)"
"90","Mięguszowiecki Szczyt Czarny","other","","","estimated (scene-proximity fallback)"
"91","Mięguszowiecki Szczyt Wielki","other","","","estimated (scene-proximity fallback)"
"92","Miętusi glacier","glacier","","","estimated (scene-proximity fallback)"
"93","Miętusia Dol. Glacier","glacier","","","estimated (scene-proximity fallback)"
"94","Miętusia glacier","glacier","","","estimated (scene-proximity fallback)"
"95","Mlynár","other","","","estimated (scene-proximity fallback)"
"96","Mlynický glacier","glacier","","","estimated (scene-proximity fallback)"
"97","Mnich 2068","peak/ridge","","","estimated (scene-proximity fallback)"
"98","Nižná Bystrá","other","","","estimated (scene-proximity fallback)"
"99","Niżne Rysy","peak/ridge","","","estimated (scene-proximity fallback)"
"100","Osobitá","other","","","estimated (scene-proximity fallback)"
"101","Ostrá","other","","","estimated (scene-proximity fallback)"
"102","Ostrý štít","other","","","estimated (scene-proximity fallback)"
"103","Pachoľa","other","","","estimated (scene-proximity fallback)"
"104","Pálenica difluence","other","","","estimated (scene-proximity fallback)"
"105","Pańszczyca glacier","glacier","","","estimated (scene-proximity fallback)"
"106","Pięciu Stawów Polskich glacier basin","glacier","","","estimated (scene-proximity fallback)"
"107","Pięć Stawów Polskich cirque field","glacier","","","estimated (scene-proximity fallback)"
"108","Plačlivô","other","","","estimated (scene-proximity fallback)"
"109","Podválovec glacier","glacier","","","estimated (scene-proximity fallback)"
"110","Poľana","other","","","estimated (scene-proximity fallback)"
"111","Poľský hrebeň","other","","","estimated (scene-proximity fallback)"
"112","Prostredný hrot","other","","","estimated (scene-proximity fallback)"
"113","Pyšný štít","other","","","estimated (scene-proximity fallback)"
"114","Rakoń","other","","","estimated (scene-proximity fallback)"
"115","Ráztoka","other","","","estimated (scene-proximity fallback)"
"116","Roháče","other","","","estimated (scene-proximity fallback)"
"117","Roháčsky glacier","glacier","","","estimated (scene-proximity fallback)"
"118","Rumanov štít","other","","","estimated (scene-proximity fallback)"
"119","Salatín","other","","","estimated (scene-proximity fallback)"
"120","Sarnia Skała","other","","","estimated (scene-proximity fallback)"
"121","Satán","other","","","estimated (scene-proximity fallback)"
"122","Široká","other","","","estimated (scene-proximity fallback)"
"123","Široká glacier","glacier","","","estimated (scene-proximity fallback)"
"124","Sivý vrch","peak/ridge","","","estimated (scene-proximity fallback)"
"125","Skalnatý glacier","glacier","","","estimated (scene-proximity fallback)"
"126","Skrajny Wołoszyn","other","","","estimated (scene-proximity fallback)"
"127","Slavkovský štít","other","","","estimated (scene-proximity fallback)"
"128","Smreczyński Wierch","peak/ridge","","","estimated (scene-proximity fallback)"
